Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,time_spent
55,0,1.0,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0,33498.767068
47,1,0.0,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0,33846.799196
28,0,1.0,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0,21936.253012
37,0,1.0,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,24174.02008
21,0,1.0,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,23792.859437
37,0,0.0,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,39667.064257
35,0,1.0,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,25073.188755
38,0,1.0,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,33478.297188
26,0,2.0,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,27325.176706
50,0,1.0,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0,21626.859437
53,0,1.0,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0,30236.995983
42,0,1.0,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260,1.0,14,0,10.0,4,20,11,6,1,3,2.0,3.0,3.0,24500.441767
29,0,2.0,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0,25541.522088
55,0,1.0,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0,33714.321285
26,0,2.0,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0,39536.228915
37,0,1.0,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0,27374.236947
44,1,2.0,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0,39505.871485
38,0,1.0,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0,24657.461847
26,1,1.0,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0,36397.253012
28,0,1.0,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0,24144.855421
49,0,2.0,Research & Development,1,1,Medical,33,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0,37849.124497
36,0,1.0,Sales,5,3,Technical Degree,34,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0,22256.558232
31,0,2.0,Research & Development,9,4,Medical,35,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0,23727.51004
26,1,1.0,Research & Development,8,3,Medical,36,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0,36957.991967
37,0,2.0,Sales,9,1,Marketing,37,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0,35949.02008
42,0,2.0,Sales,2,2,Marketing,38,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0,21527.481927
18,1,1.0,Research & Development,1,4,Life Sciences,39,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,2,3,3.0,3.0,3.0,24382.582329
35,0,1.0,Sales,20,2,Life Sciences,40,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,2,3,3.0,2.0,2.0,27681.497991
36,0,2.0,Research & Development,8,3,Other,41,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,2,3,3.0,4.0,3.0,25932.489959
51,0,1.0,Research & Development,2,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2,3,4.0,2.0,3.0,27347.168674
41,0,1.0,Research & Development,29,1,Life Sciences,43,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,3,3,4.0,2.0,3.0,25021.140562
18,0,1.0,Sales,7,3,Life Sciences,44,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,3,3,4.0,3.0,3.0,25211.5502
28,0,1.0,Research & Development,9,3,Medical,45,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2,4,2.0,1.0,3.0,25919.481927
31,0,1.0,Research & Development,8,1,Technical Degree,46,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,3,3,2.0,4.0,2.0,25823.971887
39,0,1.0,Sales,5,4,Marketing,47,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3,4,3.0,4.0,2.0,27495.140562
36,0,0.0,Research & Development,5,4,Life Sciences,48,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,3,4,2.0,2.0,3.0,28199.622489
32,0,1.0,Sales,2,3,Marketing,49,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,3,4,4.0,3.0,2.0,25124.823293
38,0,1.0,Research & Development,5,2,Life Sciences,50,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2,3,1.0,2.0,3.0,24947.742971
58,0,0.0,Research & Development,2,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2,3,4.0,3.0,3.0,39214.385542
31,0,1.0,Research & Development,20,1,Technical Degree,52,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,2,3,3.0,4.0,3.0,32867.923694
31,0,1.0,Sales,7,4,Marketing,53,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,3,4,1.0,1.0,3.0,24595.373493
45,0,2.0,Research & Development,3,1,Medical,54,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,3,3,1.0,1.0,3.0,26329.449799
31,0,1.0,Sales,16,4,Marketing,55,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3,3,3.0,4.0,1.0,30991.273092
33,0,2.0,Research & Development,9,3,Life Sciences,56,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,3,3,4.0,2.0,3.0,24416.955823
39,0,1.0,Sales,1,4,Life Sciences,57,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3,4,3.0,1.0,3.0,39544.248995
43,0,2.0,Research & Development,7,4,Medical,58,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3,3,3.0,4.0,3.0,27671.080321
49,0,1.0,Research & Development,1,3,Life Sciences,59,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3,4,3.0,3.0,3.0,35810.851405
52,1,1.0,Research & Development,7,1,Life Sciences,60,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3,3,3.0,2.0,2.0,28440.779116
27,0,1.0,Research & Development,15,4,Medical,61,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3,4,3.0,2.0,2.0,38413.341365
32,0,1.0,Research & Development,1,3,Life Sciences,62,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,4,3,3.0,2.0,3.0,37787.453815
27,0,1.0,Research & Development,13,2,Medical,63,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4,3,4.0,3.0,3.0,36272.473895
31,0,1.0,Sales,24,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4,3,4.0,4.0,3.0,23780.919678
32,0,1.0,Research & Development,7,3,Technical Degree,65,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,3,3,1.0,4.0,2.0,26987.072289
28,1,1.0,Research & Development,9,4,Medical,66,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,2,3,1.0,4.0,2.0,38617.64257
30,0,1.0,Research & Development,13,3,Life Sciences,67,Female,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,3,3,4.0,4.0,3.0,22245.064257
31,0,2.0,Research & Development,2,1,Life Sciences,68,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,2,3,3.0,3.0,3.0,23778.923694
39,0,2.0,Research & Development,19,4,Medical,69,Female,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3,3,3.0,4.0,3.0,21876.176706
39,1,1.0,Research & Development,1,1,Medical,70,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,3,3,4.0,3.0,2.0,35886.730923
33,0,2.0,Sales,4,2,Life Sciences,71,Male,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,3,3,2.0,4.0,2.0,26701.044176
47,0,1.0,Research & Development,4,3,Life Sciences,72,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4,4,4.0,3.0,3.0,23378.64257
43,0,2.0,Research & Development,14,3,Medical,73,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3,3,3.0,3.0,4.0,22667.923694
27,0,0.0,Research & Development,2,3,Life Sciences,74,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3,3,3.0,2.0,3.0,33529.943775
54,0,2.0,Research & Development,1,4,Life Sciences,75,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,3,3,4.0,3.0,2.0,21928.546184
43,0,1.0,Research & Development,7,2,Life Sciences,76,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3,4,3.0,1.0,2.0,25994.004016
45,0,1.0,Sales,3,1,Marketing,77,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,3,3,4.0,4.0,3.0,25565.341365
40,0,1.0,Research & Development,2,4,Other,78,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,3,3,2.0,4.0,2.0,35683.995983
29,1,1.0,Research & Development,29,3,Medical,79,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,3,3,2.0,1.0,2.0,37663.036144
29,0,1.0,Human Resources,8,3,Medical,80,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,3,4,2.0,4.0,3.0,24870.240963
30,0,1.0,Research & Development,10,3,Life Sciences,81,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2,3,4.0,3.0,3.0,27344.008032
27,0,1.0,Research & Development,11,2,Medical,82,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2,3,2.0,2.0,3.0,21883.028112
37,0,1.0,Sales,1,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,3,3,4.0,4.0,2.0,21579.208835
38,0,1.0,Research & Development,28,4,Medical,84,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3,3,3.0,4.0,3.0,32364.995983
31,0,1.0,Research & Development,6,3,Medical,85,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3,3,3.0,4.0,3.0,37541.546184
29,0,1.0,Research & Development,3,4,Life Sciences,86,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,3,3,4.0,2.0,3.0,30200.497991
35,0,1.0,Sales,16,2,Technical Degree,87,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,4,3,3.0,2.0,3.0,28485.056224
23,0,1.0,Research & Development,20,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2,4,3.0,4.0,2.0,25576.710843
41,0,1.0,Research & Development,9,2,Life Sciences,89,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,3,3,4.0,2.0,3.0,34851.674698
47,0,2.0,Sales,1,3,Medical,90,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,4,3,2.0,3.0,3.0,27986.598393
42,0,1.0,Research & Development,3,4,Life Sciences,91,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1,4,1.0,4.0,3.0,22628.17269
29,0,0.0,Sales,22,4,Marketing,92,Male,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,2,4,4.0,3.0,2.0,22685.096385
42,0,1.0,Sales,7,4,Medical,93,Male,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,2,3,3.0,3.0,3.0,31823.650602
32,0,1.0,Research & Development,2,3,Medical,94,Male,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3,3,3.0,2.0,3.0,27784.995983
48,0,1.0,Sales,13,4,Medical,95,Male,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,2,3,1.0,3.0,1.0,26386.634538
37,0,1.0,Research & Development,8,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3,3,3.0,1.0,3.0,38861.413654
30,0,0.0,Sales,25,4,Other,97,Male,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,3,4,4.0,3.0,4.0,37446.088353
26,0,1.0,Sales,28,3,Medical,98,Female,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,3,3,3.0,3.0,3.0,21584.903614
42,0,1.0,Sales,2,2,Medical,99,Female,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,3,3,1.0,4.0,3.0,21996.381526
21,1,2.0,Research & Development,9,3,Medical,100,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,2,3,1.0,2.0,3.0,29290.578313
36,0,0.0,Human Resources,28,3,Human Resources,101,Male,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,1,4,4.0,4.0,3.0,26303.257028
36,0,2.0,Research & Development,6,3,Life Sciences,102,Female,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,3,3,1.0,4.0,3.0,25584.180722
57,0,1.0,Research & Development,21,4,Life Sciences,103,Male,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,1,3,4.0,3.0,3.0,22745.088353
40,0,1.0,Research & Development,8,3,Other,104,Male,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,3,3,4.0,3.0,3.0,29241.084337
21,0,0.0,Research & Development,1,5,Life Sciences,105,Female,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,1,3,1.0,4.0,2.0,28767.17269
33,1,1.0,Human Resources,28,2,Human Resources,106,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0,1,4,4.0,3.0,3.0,37814.955823
37,0,1.0,Research & Development,5,3,Life Sciences,107,Male,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,4,3,3.0,1.0,3.0,28776.477911
46,0,0.0,Sales,2,4,Marketing,108,Female,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,3,3,3.0,3.0,4.0,22015.855421
41,1,2.0,Research & Development,16,1,Medical,109,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7,4,3,1.0,2.0,3.0,27320.947791
50,0,1.0,Research & Development,9,3,Medical,110,Female,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,3,3,4.0,4.0,3.0,24833.546184
40,1,1.0,Research & Development,8,3,Medical,111,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0,2,4,3.0,3.0,3.0,33484.851405
31,0,1.0,Research & Development,1,3,Life Sciences,112,Male,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,3,4,3.0,2.0,3.0,38888.871485
21,1,1.0,Human Resources,10,2,Human Resources,113,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0,21613.64257
29,0,1.0,Research & Development,1,3,Life Sciences,114,Female,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2,4,3,4.0,4.0,3.0,28040.867469
35,0,1.0,Research & Development,29,3,Life Sciences,115,Female,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,3,3,3.0,2.0,3.0,27810.39759
27,0,1.0,Sales,2,3,Life Sciences,116,Male,1,Sales Executive,Divorced,23670,1.0,12,1,5.0,2,5,0,4,3,3,4.0,2.0,3.0,22268.518072
28,0,1.0,Research & Development,2,2,Medical,117,Male,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,2,3,2.0,4.0,3.0,25647.722891
49,0,1.0,Sales,2,3,Technical Degree,118,Male,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0,3,3,2.0,3.0,3.0,28155.016064
51,0,1.0,Research & Development,1,2,Life Sciences,119,Male,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,3,4,3.0,4.0,2.0,27381.666666
36,0,1.0,Sales,15,2,Life Sciences,120,Male,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,3,3,4.0,3.0,3.0,21604.224899
34,1,0.0,Research & Development,7,3,Life Sciences,121,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,4,3,4,1.0,4.0,2.0,32776.293172
55,0,1.0,Sales,26,3,Marketing,122,Male,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,3,3,3.0,4.0,3.0,31263.863453
24,0,1.0,Research & Development,1,3,Life Sciences,123,Female,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,3,3,4.0,3.0,4.0,35958.674698
30,0,1.0,Research & Development,3,3,Life Sciences,124,Female,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,3,3,3.0,2.0,3.0,24859.767068
26,1,2.0,Sales,14,3,Life Sciences,125,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4,3,3,3.0,4.0,3.0,25204.180722
22,0,1.0,Research & Development,16,5,Other,126,Male,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,2,3,1.0,2.0,3.0,22595.056224
36,0,1.0,Research & Development,1,3,Medical,127,Female,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,3,3,2.0,3.0,3.0,22921.385542
30,1,2.0,Sales,3,2,Marketing,128,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0,2,3,3.0,4.0,3.0,29472.738955
37,0,1.0,Research & Development,10,1,Technical Degree,129,Male,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,3,3,4.0,1.0,2.0,23219.465863
40,0,1.0,Research & Development,6,2,Medical,130,Male,3,Research Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,2,3,4.0,2.0,3.0,24042.236947
42,0,1.0,Research & Development,2,3,Medical,131,Female,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,2,3,2.0,1.0,3.0,26928.710843
37,0,1.0,Sales,9,1,Marketing,132,Male,3,Sales Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,2,3,3.0,2.0,2.0,35709.783132
43,0,1.0,Sales,10,2,Life Sciences,133,Female,1,Sales Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,3,3,1.0,2.0,3.0,26696.333333
40,0,1.0,Sales,6,2,Life Sciences,134,Female,1,Laboratory Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,2,3,2.0,3.0,3.0,26971.518072
54,0,1.0,Human Resources,9,3,Life Sciences,135,Female,2,Manufacturing Director,Married,63230,4.0,23,1,24.0,2,4,1,2,2,4,1.0,1.0,2.0,21561.803212
34,0,0.0,Research & Development,28,3,Medical,136,Male,1,Laboratory Technician,Married,56770,9.0,20,1,6.0,3,3,1,2,3,4,3.0,3.0,3.0,24684.41767
31,0,1.0,Research & Development,10,4,Life Sciences,137,Male,3,Sales Executive,Married,21870,1.0,15,1,13.0,2,13,3,12,2,3,2.0,1.0,1.0,22035.220883
43,0,2.0,Sales,14,3,Life Sciences,138,Female,1,Manufacturing Director,Married,37480,7.0,14,2,10.0,3,3,1,2,2,3,4.0,4.0,3.0,27623.072289
43,0,1.0,Sales,27,4,Life Sciences,139,Male,2,Sales Representative,Divorced,39770,4.0,18,1,8.0,3,5,0,2,3,3,3.0,3.0,3.0,31968.746987
25,0,1.0,Human Resources,7,2,Human Resources,140,Male,1,Manufacturing Director,Single,86330,1.0,19,1,5.0,2,5,1,3,4,3,2.0,4.0,3.0,39211.991967
37,0,0.0,Research & Development,1,3,Medical,141,Male,3,Laboratory Technician,Married,20080,3.0,22,0,15.0,5,13,10,7,2,4,2.0,3.0,3.0,38533.401606
31,0,1.0,Research & Development,24,1,Medical,142,Male,3,Laboratory Technician,Married,44400,1.0,13,1,4.0,2,4,3,2,3,3,4.0,1.0,3.0,25433.911646
39,0,2.0,Research & Development,26,4,Technical Degree,143,Female,1,Sales Executive,Divorced,30670,1.0,20,1,21.0,5,21,1,6,1,4,2.0,3.0,3.0,32425.216867
56,0,2.0,Research & Development,20,4,Life Sciences,144,Female,3,Sales Executive,Married,53210,9.0,14,0,36.0,1,7,7,7,3,3,3.0,1.0,2.0,26721.502008
30,0,1.0,Sales,5,4,Medical,145,Female,2,Manufacturing Director,Single,54100,0.0,17,1,6.0,2,5,4,4,3,3,2.0,3.0,3.0,27312.489959
41,0,1.0,Research & Development,7,3,Technical Degree,146,Female,3,Research Scientist,Married,27820,1.0,14,0,10.0,2,10,0,7,2,3,2.0,1.0,3.0,23815.702811
28,0,1.0,Research & Development,7,3,Medical,147,Male,3,Healthcare Representative,Divorced,119570,1.0,13,0,10.0,2,10,1,8,2,3,3.0,1.0,3.0,22291.791164
25,1,1.0,Research & Development,5,2,Life Sciences,148,Female,3,Laboratory Technician,Married,26600,5.0,13,0,6.0,3,2,0,2,3,3,1.0,1.0,3.0,23300.574297
52,0,1.0,Research & Development,26,2,Life Sciences,149,Female,2,Sales Representative,Married,33750,2.0,21,0,28.0,2,5,0,4,2,4,4.0,3.0,3.0,29505.357429
45,0,1.0,Research & Development,2,3,Medical,150,Female,1,Sales Executive,Married,50980,3.0,14,1,8.0,4,2,0,2,3,3,1.0,4.0,2.0,24428.453815
52,0,1.0,Research & Development,12,3,Medical,151,Male,2,Research Scientist,Married,48780,2.0,11,1,31.0,3,5,1,4,3,3,4.0,4.0,1.0,26260.124497
42,0,2.0,Sales,10,3,Marketing,152,Female,2,Healthcare Representative,Divorced,28370,2.0,13,1,19.0,0,5,0,2,2,3,1.0,3.0,3.0,24547.546184
30,0,1.0,Sales,25,3,Marketing,153,Male,1,Sales Executive,Single,24060,2.0,20,1,11.0,5,5,0,2,3,4,3.0,4.0,3.0,26367.871485
60,0,1.0,Research & Development,10,3,Life Sciences,154,Female,1,Manufacturing Director,Married,22690,5.0,18,1,33.0,4,29,11,10,3,3,1.0,1.0,1.0,22197.899598
46,0,1.0,Sales,19,4,Marketing,155,Female,1,Sales Executive,Divorced,41080,2.0,14,0,19.0,5,10,0,8,2,3,3.0,3.0,2.0,27397.751004
42,0,2.0,Research & Development,18,4,Technical Degree,156,Male,4,Sales Executive,Married,132060,0.0,13,2,7.0,2,6,0,4,3,3,4.0,4.0,4.0,23748.787148
24,1,1.0,Research & Development,27,2,Medical,157,Male,1,Research Scientist,Single,104220,1.0,17,1,6.0,0,5,1,4,2,3,1.0,2.0,3.0,38311.008032
34,1,2.0,Research & Development,5,3,Medical,158,Male,2,Research Scientist,Divorced,137440,0.0,20,1,3.0,3,2,1,0,3,4,4.0,3.0,2.0,22336.28514
